name,website,founded,headquarters,ceo,revenue_operating_income_net_income,total_assets_total_equity,num_employees,history,licensed_vaccines,vaccine_candidates
Pfizer Inc.,https://www.pfizer.com,1849,"New York, USA",Albert Bourla,"$100.3B / $31.4B / $21.4B (2022)","$197B / $91B",83000,"Pfizer is one of the world's largest pharmaceutical companies. Founded in 1849 by cousins Charles Pfizer and Charles Erhart in Brooklyn, New York. Known for breakthrough medications including Lipitor, Viagra, and the COVID-19 vaccine developed with BioNTech.","Comirnaty, Prevnar 20, Pneumovax 23","RSVpreF, SA4Ag, PCV-20"
Moderna Inc.,https://www.modernatx.com,2010,"Cambridge, Massachusetts, USA",Stéphane Bancel,"$19.3B / $13.2B / $12.2B (2022)","$17.1B / $13.6B",3900,"Moderna is a biotechnology company pioneering messenger RNA (mRNA) therapeutics and vaccines. Founded in 2010, the company gained worldwide recognition for developing one of the first COVID-19 vaccines. Moderna's technology platform has the potential to develop treatments for a wide range of diseases.","Spikevax","mRNA-1345, mRNA-1647, mRNA-1644, mRNA-1893, mRNA-1388, mRNA-1189, FluMos-v1"
GlaxoSmithKline (GSK),https://www.gsk.com,2000,"Brentford, UK",Emma Walmsley,"£29.3B / £7.8B / £5.2B (2022)","£54.7B / £10.9B",90096,"GSK was formed in 2000 through the merger of Glaxo Wellcome and SmithKline Beecham. It is one of the world's leading pharmaceutical companies with a strong portfolio of vaccines and specialty medicines. GSK produces vaccines for hepatitis, influenza, meningitis, and many other diseases.","Fluarix Quadrivalent, Engerix-B, Twinrix, Cervarix, Shingrix, Bexsero, RabAvert","M72/AS01E, R21/Matrix-M, GSK3943104A, GAS-M, MenABCWY, Shigella4V"
Sanofi,https://www.sanofi.com,1973,"Paris, France",Paul Hudson,"€43.0B / €9.8B / €6.7B (2022)","€124B / €68B",91045,"Sanofi is a French multinational pharmaceutical company. The company is one of the world's largest vaccine manufacturers through its Sanofi Pasteur division, producing vaccines for polio, influenza, yellow fever, and many other diseases. Sanofi has a rich history dating back to 1973.","Menactra, Adacel, YF-VAX, Typhim Vi, Dengvaxia","VRC-ZKADNA085-00-VP, TAK-003, Chikungunya VLA1553, HIL-214, ETVAX, Hib-MenCY-TT"
Merck & Co.,https://www.merck.com,1891,"Kenilworth, New Jersey, USA",Robert M. Davis,"$59.3B / $13.1B / $14.5B (2022)","$113B / $38B",68000,"Merck is a leading global biopharmaceutical company known as MSD outside the United States and Canada. Founded in 1891, Merck has been responsible for numerous medical breakthroughs including vaccines for measles, mumps, rubella, and HPV.","Gardasil 9, MMR II, ProQuad, Varivax, Vaxelis, RotaTeq, Ervebo","GBS-NN"
AstraZeneca,https://www.astrazeneca.com,1999,"Cambridge, UK",Pascal Soriot,"$44.4B / $7.5B / $3.2B (2022)","$89.5B / $19.2B",89700,"AstraZeneca is a British-Swedish multinational pharmaceutical and biotechnology company formed in 1999 through the merger of Astra AB and Zeneca Group. The company developed one of the major COVID-19 vaccines in partnership with Oxford University.","Vaxzevria","Malaria R21/Matrix-M, Nipah ChAdOx1 NipahB"
Bharat Biotech,https://www.bharatbiotech.com,1996,"Hyderabad, India",Krishna Ella,"$500M (est.)","$800M (est.)",2500,"Bharat Biotech is India's leading vaccine manufacturer. Founded in 1996, the company has developed over 16 vaccines. Known for developing COVAXIN, India's first indigenous COVID-19 vaccine, and vaccines for Japanese encephalitis, rabies, and rotavirus.","COVAXIN, Rotavac, Rabipur, Ixiaro",
Serum Institute of India,https://www.seruminstitute.com,1966,"Pune, India",Adar Poonawalla,"$1.5B (est.)","$5B (est.)",7000,"The Serum Institute of India is the world's largest vaccine manufacturer by number of doses produced. Founded in 1966 by Dr. Cyrus Poonawalla, it produces affordable vaccines for developing countries and supplies over 50% of the world's vaccines to UNICEF.",COVOVAX,"VPM1002"
Johnson & Johnson,https://www.jnj.com,1886,"New Brunswick, New Jersey, USA",Joaquin Duato,"$94.9B / $23.4B / $17.9B (2022)","$187B / $73B",152700,"Johnson & Johnson is an American multinational corporation founded in 1886. Through its Janssen Pharmaceuticals division, the company develops vaccines and pharmaceuticals. J&J developed a single-dose COVID-19 vaccine and produces vaccines for Ebola and other diseases.",FLUAD,"PrEPVacc, Marburg cAd3-Marburg"
Sinovac Biotech,https://www.sinovac.com,2001,"Beijing, China",Yin Weidong,"$3.8B (2021)","$5.2B (est.)",3000,"Sinovac Biotech is a Chinese biopharmaceutical company that focuses on research, development, and commercialization of vaccines. Founded in 2001, Sinovac developed CoronaVac, one of the COVID-19 vaccines used globally, particularly in Asia and South America.",,
