country,available,website,url,nitag_name,established
United States,true,https://www.cdc.gov/vaccines/acip/index.html,https://www.cdc.gov/vaccines/acip/meetings/index.html,Advisory Committee on Immunization Practices (ACIP),1964
United Kingdom,true,https://www.gov.uk/government/groups/joint-committee-on-vaccination-and-immunisation,https://www.gov.uk/government/publications/jcvi-annual-report,Joint Committee on Vaccination and Immunisation (JCVI),1963
Germany,true,https://www.rki.de/EN/Content/infections/Vaccination/recommandations/recommendations_node.html,https://www.rki.de/EN/Content/Institute/DepartmentsUnits/StAKo/STIKO_node.html,Standing Committee on Vaccination (STIKO),1972
France,true,https://solidarites-sante.gouv.fr/prevention-en-sante/preserver-sa-sante/vaccination/vaccins-obligatoires,https://solidarites-sante.gouv.fr/IMG/pdf/calendrier_vaccinal_29juin2020.pdf,Technical Committee for Vaccinations (CTV),1982
Canada,true,https://www.canada.ca/en/public-health/services/immunization/national-advisory-committee-on-immunization-naci.html,https://www.canada.ca/en/public-health/services/immunization/national-advisory-committee-on-immunization-naci/publications.html,National Advisory Committee on Immunization (NACI),1964
Australia,true,https://www.health.gov.au/committees-and-groups/australian-technical-advisory-group-on-immunisation-atagi,https://www.health.gov.au/resources/collections/atagi-advice-and-updates,Australian Technical Advisory Group on Immunisation (ATAGI),1989
India,true,https://ntagi.org,https://ntagi.org/recommendations.html,National Technical Advisory Group on Immunization (NTAGI),2001
Japan,true,https://www.mhlw.go.jp/english/,https://www.mhlw.go.jp/english/policy/health-medical/health/index.html,Immunization and Vaccine Section Council,1994
Brazil,true,https://www.gov.br/saude/pt-br,https://www.gov.br/saude/pt-br/composicao/svsa/imunizacao,Technical Advisory Group on Immunization (CTAI),2008
South Africa,true,https://www.health.gov.za,https://www.nicd.ac.za/centres/national-immunisation-safety-surveillance-centre-nissc/,National Advisory Group on Immunisation (NAGI),2002
Mexico,true,https://www.gob.mx/salud,https://www.gob.mx/salud/acciones-y-programas/programa-de-vacunacion-universal,National Vaccination Committee (CONAVA),2006
Pakistan,true,https://www.nih.org.pk,https://www.nih.org.pk/ntagi/,National Technical Advisory Group on Immunization (NTAGI),2004
Nigeria,true,https://nphcda.gov.ng,https://nphcda.gov.ng/nitag/,National Immunization Technical Advisory Group (NITAG),2005
Kenya,true,https://www.health.go.ke,https://www.health.go.ke/kenya-national-immunization-technical-advisory-group/,Kenya National Immunization Technical Advisory Group (KENITAG),2001
Indonesia,true,https://www.kemkes.go.id,https://www.kemkes.go.id/itagi,Indonesian Technical Advisory Group on Immunization (ITAGI),2002
Argentina,true,https://www.argentina.gob.ar/salud,https://www.argentina.gob.ar/salud/comision-nacional-inmunizaciones,National Immunization Commission (CONAIN),2013
Spain,true,https://www.sanidad.gob.es,https://www.sanidad.gob.es/profesionales/saludPublica/prevPromocion/vacunaciones/Ponencia.htm,Ponencia de Programa y Registro de Vacunaciones,1981
Italy,true,https://www.salute.gov.it,https://www.salute.gov.it/portale/vaccinazioni/homeVaccinazioni.jsp,Technical-Scientific Committee on Vaccinations,1999
Netherlands,true,https://www.rivm.nl/en/health-council,https://www.healthcouncil.nl/vaccination,Health Council of the Netherlands,1902
Sweden,true,https://www.folkhalsomyndigheten.se,https://www.folkhalsomyndigheten.se/the-public-health-agency-of-sweden/living-conditions-and-lifestyle/vaccinations/,Public Health Agency of Sweden,2009
Switzerland,true,https://www.bag.admin.ch/bag/en/home/gesund-leben/gesundheitsfoerderung-und-praevention/impfungen-prophylaxe/schweizerischer-impfplan.html,https://www.bag.admin.ch/ekif,Federal Commission for Vaccination Issues (EKIF),1991
Belgium,true,https://www.health.belgium.be/en,https://www.health.belgium.be/en/health/taking-care-yourself/vaccination,Superior Health Council - Vaccination Group,1849
Denmark,true,https://www.ssi.dk,https://www.ssi.dk/en/vaccination,Statens Serum Institut,1902
Norway,true,https://www.fhi.no/en/,https://www.fhi.no/en/id/vaccines/childhood-immunisation-programme/,Norwegian Institute of Public Health,1929
New Zealand,true,https://www.health.govt.nz,https://www.health.govt.nz/our-work/immunisation-advisory-centre,Immunisation Advisory Centre,2000
China,true,https://www.chinacdc.cn,http://www.chinacdc.cn/zxdt/,National Immunization Advisory Committee (NIAC),2001
South Korea,true,https://www.kdca.go.kr/index.es?sid=a2,https://nip.kdca.go.kr/,Korea Disease Control and Prevention Agency (KDCA),2004
Thailand,true,https://ddc.moph.go.th/,https://ddc.moph.go.th/vaccine/,Advisory Committee on Immunization Practice (ACIP Thailand),2004
Bangladesh,true,https://dghs.gov.bd,https://dghs.gov.bd/index.php/en/home/5200-nitag,National Immunization Technical Advisory Group (NITAG),2012
Ethiopia,true,https://www.moh.gov.et,https://www.ephi.gov.et/,National Immunization Technical Advisory Group (NITAG),2009
